111111LEANDRO FERNANDES VIEIRA      10050060099
222222MISUJEI NAKARA                20040070083
444444JULIANA PEREIRA OLIVEIRA      89234234726
777777FERNANDO DAMASCOAS            45645006009
888888CESAR RICARDO BORGES          67800835675
114444CAROLINA SANTOS DA SILVA      56867234726
111111LEANDRO FERNANDES VIEIRA      10050060099
222222MISUJEI NAKARA                20040070083
444444JULIANA PEREIRA OLIVEIRA      89234234726
777777FERNANDO DAMASCOAS            45645006009
888888CESAR RICARDO BORGES          67800835675
114444CAROLINA SANTOS DA SILVA      56867234726
111111LEANDRO FERNANDES VIEIRA      10050060099
222222MISUJEI NAKARA                20040070083
444444JULIANA PEREIRA OLIVEIRA      89234234726
777777FERNANDO DAMASCOAS            45645006009
888888CESAR RICARDO BORGES          67800835675
114444CAROLINA SANTOS DA SILVA      56867234726
111111LEANDRO FERNANDES VIEIRA      10050060099
222222MISUJEI NAKARA                20040070083
444444JULIANA PEREIRA OLIVEIRA      89234234726
777777FERNANDO DAMASCOAS            45645006009
888888CESAR RICARDO BORGES          67800835675
114444CAROLINA SANTOS DA SILVA      56867234726
111111LEANDRO FERNANDES VIEIRA      10050060099
222222MISUJEI NAKARA                20040070083
444444JULIANA PEREIRA OLIVEIRA      89234234726
777777FERNANDO DAMASCOAS            45645006009
888888CESAR RICARDO BORGES          67800835675
114444CAROLINA SANTOS DA SILVA      56867234726
111111LEANDRO FERNANDES VIEIRA      10050060099
222222MISUJEI NAKARA                20040070083
444444JULIANA PEREIRA OLIVEIRA      89234234726
777777FERNANDO DAMASCOAS            45645006009
888888CESAR RICARDO BORGES          67800835675
114444CAROLINA SANTOS DA SILVA      56867234726
111111LEANDRO FERNANDES VIEIRA      10050060099
222222MISUJEI NAKARA                20040070083
444444JULIANA PEREIRA OLIVEIRA      89234234726
777777FERNANDO DAMASCOAS            45645006009
888888CESAR RICARDO BORGES          67800835675
114444CAROLINA SANTOS DA SILVA      56867234726
