0011234567Nathan William Crichton Archer1000090008001000
0013658547Aline Rich                    0700030002000800
0026987452Angelina Tamera Hester        0100020003000400
0033697521Charity Letitia Acosta        0500060008000400
0013547852Christie Velez                0900080007000900
0021478523Christine Clarke              0250060008000100
0033658741Chrystal Galloway             0500060007000800
0011236598Elisabeth Raquel Powell       0800060003000700
0023698741Georgia Hull                  0900080007000600
0033697413Goldie Meredith Watkins       0960045009500700
0011496333Jade Foster                   0700080004000900
0020236587Jeannie Raquel Thornton       1000090008001000
0032364597Kristi Wilma Deleon           0200030001000600
0013665874Madeline Kinney               0800070005000600
0023658741Maricela Duke                 0700090008000800
0030325874Maryellen Elliott             0200090005000900
0010159745Maude Clarice Reyes           0800060008000400
00213698742Millie Oliver                0700040009000800
0031236587Natalie Mia Buckley           0500030009000800
0011236587Trina Brenda Head             1000090000000000
0021236587Yvette Geneva Molina          0600080001000900
0039621004Benton Joey Hudson            1000100010001000
0011478523Eric Dexter Dickson           0800040002000900
0029874521Gus Nestor Clay               0900070006000800
0033698452Ike Wm Osborne                0700090006000700
0013659871Rusty Isidro Gill             0250095007500650
