BZ86237STEPHANIE SEIXAS    0000330000003000000025000
AA43534JOSE DA SILVA       0000200500004000000040000
BX56782SEBASTIÃO FERNANDES 0000500000008000000070000
AA15367GUILHERME NEVES     0000600750004500000021000
AC12345MARIA DE OLIVEIRA   0000100100002000000010000
BZ75634FLAVIA LINO DO CARMO0000230320004300000045000
AA26567HENRIQUE SEIXAS     0000400100005000000030000
BX64378WEBER NASCIMENTO    0000120000003500000023000
AC23694MARIANA MORAES FILHO0000500150005000000015000
AC74546SAMARA MAGALHAES    0000800200004000000040000
